tweet_id,user_id,screen_name,name,club,day,area,block,place,url
741198013444411392,166457494,merutoros,"稲葉めと＠北ティアF14","かぜのねどこ","日","西","ｎ","05b",https://twitter.com/merutoros/status/741198013444411392
741198013092089856,113058888,wakaroh,"ワカロー＠てっしー定期","おねむホルモン","金","東","フ","03b",https://twitter.com/wakaroh/status/741198013092089856
741198003302596608,63361314,hakuka_mikanagi,"白花","薄紅蒼花","日","東","Ｓ","14b",https://twitter.com/hakuka_mikanagi/status/741198003302596608
741197982255587328,108036621,ryo_kanata,"彼方リョウ＠歌姫庭園 楓さんオンリー11","indigo Note","日","東","Ｗ","17b",https://twitter.com/ryo_kanata/status/741197982255587328
741197982217822208,2662055752,klklkawe,"村上メイシ","fraise grimoire","土","東","Ｄ","36b",https://twitter.com/klklkawe/status/741197982217822208
741197980418506754,281694106,Yasumi_Lilith,"夜澄りりす＠3日目東コ34b","1059mm","日","東","コ","34b",https://twitter.com/Yasumi_Lilith/status/741197980418506754
741197977662967808,15499649,uno_roughsketch,"RoughSketch/uno","Notebook Records","日","西","ｏ","19a",https://twitter.com/uno_roughsketch/status/741197977662967808
741197929080193024,86667493,usami5,"うさみ☆6/12グルコミ7/3サンクリ","STUDIO五芒星","日","東","フ","32b",https://twitter.com/usami5/status/741197929080193024
741197916279214080,130419273,watacandy,"かなた?●?????●?","わたあめあいす","日","西","り","33b",https://twitter.com/watacandy/status/741197916279214080
741197899896233985,406877779,ftani8,"藤谷","王様事変","金","東","ヤ","29a",https://twitter.com/ftani8/status/741197899896233985
741197865414856704,3099261018,Orlha711,"夜(???)","Orlha","金","東","ス","01b",https://twitter.com/Orlha711/status/741197865414856704
741197859433766912,990550304,AkeiMaria,"朱居まりあ","Ｐａｎｄａｅｍｏｎｉｕｍ","土","東","ポ","40b",https://twitter.com/AkeiMaria/status/741197859433766912
741197855021404160,113879348,da1_1hara,"だいちろ","好古堂楽房","日","東","メ","47b",https://twitter.com/da1_1hara/status/741197855021404160
741197847912026112,403091280,aomiboshi,"碧海星","碧海星","金","西","ｃ","34a",https://twitter.com/aomiboshi/status/741197847912026112
741197845856804864,1413054355,atelierspana,"なめチル","アトリエspana","土","東","ケ","34a",https://twitter.com/atelierspana/status/741197845856804864
741197834322485248,512971001,_koma27,"なっぱ","アルモニ","土","東","チ","40a",https://twitter.com/_koma27/status/741197834322485248
741197829931077636,2915695153,meshi240,"西尾メシ","vaccine","金","東","サ","42b",https://twitter.com/meshi240/status/741197829931077636
741197817725779969,563453901,onigirinigirime,"†にぎりめしこそすべて…†","ぺろり飯。","日","東","ク","24b",https://twitter.com/onigirinigirime/status/741197817725779969
741197811690045441,112208154,rezr_fytk,"冬月","リゼロ","金","東","ソ","52a",https://twitter.com/rezr_fytk/status/741197811690045441
741197807432802304,809565258,yuki_kawachi,"伽和智雪( ‘?’ )ぶも( ‘?’ )","大雪系砲！","土","東","Ｅ","24a",https://twitter.com/yuki_kawachi/status/741197807432802304
741197798339543040,2660247374,rumlovealliance,"ラム酒好き好き同盟@1日目西m-37a","ラム酒好き好き同盟","金","西","ｍ","37a",https://twitter.com/rumlovealliance/status/741197798339543040
741197785102327808,171950798,gogo_nomad,"gogo：次はスパコミ","MEGALOMANIAC","金","東","ヤ","12b",https://twitter.com/gogo_nomad/status/741197785102327808
741197780115394560,106356264,dodozom,"びんぞこゾンビ","おおきなつづら","土","東","ム","17b",https://twitter.com/dodozom/status/741197780115394560
741197779951857664,3182888904,jp06920,"JP06","Orange Maru","日","東","リ","45b",https://twitter.com/jp06920/status/741197779951857664
741197779754582016,3191060599,x_sthn,"そらいち","zerokey","土","東","ス","30b",https://twitter.com/x_sthn/status/741197779754582016
741197778571796480,68738043,orisaEX,"織匡俗@椰麟祭Dｰ08","?'s","土","東","ユ","42a",https://twitter.com/orisaEX/status/741197778571796480
741197774872444929,2170239930,mahiru_no_ritsu,"慄","真昼の夢","金","東","ナ","34a",https://twitter.com/mahiru_no_ritsu/status/741197774872444929
741197774046171136,190664191,nyotaidumi,"いづみ","CHIPS","金","東","シ","07b",https://twitter.com/nyotaidumi/status/741197774046171136
741197750914547712,2567037007,taka_minee,"鷹峰【吾が手7・ア81b】","あまテラス","金","東","シ","35a",https://twitter.com/taka_minee/status/741197750914547712
741197736364650496,2957735881,sumitomo_x_x,"すみとも【三日目東S20a】","ふわとろ☆まりんぽりす","日","東","Ｓ","20a",https://twitter.com/sumitomo_x_x/status/741197736364650496
741197733348790272,5524732,hidea,"ひであ @RAW/Oceanside","春うらら ","日","西","れ","01b",https://twitter.com/hidea/status/741197733348790272
741197727007006721,980341932,MorsYuzuruka,"弓弦花【土曜 東L-36a】","ブーゲンビリア","土","東","Ｌ","36a",https://twitter.com/MorsYuzuruka/status/741197727007006721
741197725106999296,2994799963,ibuki_to,"いぶき","てなもんや。","土","東","ツ","42b",https://twitter.com/ibuki_to/status/741197725106999296
741197711987200000,1464656317,HmShiragin,"しらぎ＠原稿中","RANDOM WORKER","土","東","ナ","47b",https://twitter.com/HmShiragin/status/741197711987200000
741197708862488578,90631736,momoyoko,"百世★主デボアンソロ","parapluie","土","東","ア","41b",https://twitter.com/momoyoko/status/741197708862488578
741197705842565120,1314089754,harutoki2013,"はるときくれ@2日目西ｐ-23a","はるしぐれ","土","西","ｐ","23a",https://twitter.com/harutoki2013/status/741197705842565120
741197705427357696,459030414,nonstudy,"non-study","non-study","土","西","ｄ","41a",https://twitter.com/nonstudy/status/741197705427357696
741197705330851840,2355688405,kemo33_tk,"ヨル＠夏Q32b","夜虎","金","東","Ｑ","32b",https://twitter.com/kemo33_tk/status/741197705330851840
741197704106102784,4613852293,ao_nakagawa,"ao_nakagawa","アクエリアス教団偽日本支部","金","西","ｋ","32b",https://twitter.com/ao_nakagawa/status/741197704106102784
741197697793679361,225772260,manana_eadig,"mAnAnA","First　Quarter","金","東","ア","03a",https://twitter.com/manana_eadig/status/741197697793679361
741197694991880192,8950692,shirokumak,"しろくま@土東ヒ27a","白熊工房","土","東","ヒ","27a",https://twitter.com/shirokumak/status/741197694991880192
741197673802260480,159094204,tapioka_kana,"タピオカかな","殊に。","土","東","ヨ","06b",https://twitter.com/tapioka_kana/status/741197673802260480
741197652499398656,85811884,gidayou,"小山内","東雲書房","日","西","あ","70a",https://twitter.com/gidayou/status/741197652499398656
741197632874258433,130459192,moKu00,"もくもく","ジパング貿易","土","東","Ｕ","44b",https://twitter.com/moKu00/status/741197632874258433
741197628658966528,994135956,Hokuto_Dataman,"北斗＠極ウマ＆C90土曜東パ45b","BIG DIPPER","土","東","パ","45b",https://twitter.com/Hokuto_Dataman/status/741197628658966528
741197627425837056,486418590,nameko_r2,"なめこ@土曜日 西 n-36a","妖殖琴荘","土","西","ｎ","36a",https://twitter.com/nameko_r2/status/741197627425837056
